Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
1929,16,206,29.3,5.19,4.48,2458,0.52,0.48,0.05,0.05,0.09,8.89,10.03,5.19,4.42,0.55,3.26,,2.86,0.16,0.02,0.14,39.21,100,1.494,.303,10.1,0.6,3.3,2.9,0.88,1.19
1928,16,210,29.1,4.72,4.01,2462,0.52,0.48,0.05,0.05,0.09,8.94,9.63,4.72,3.99,0.44,3.11,,2.88,0.19,0.01,0.12,38.78,100,1.426,.296,9.7,0.4,3.1,2.9,0.93,1.22
1927,16,210,29.2,4.75,4.02,2472,0.52,0.48,0.05,0.05,0.08,8.90,9.71,4.75,3.98,0.37,3.01,,2.79,0.20,0.02,0.14,38.66,101,1.428,.301,9.8,0.4,3.0,2.8,0.93,1.30
1926,16,198,29.0,4.63,3.92,2468,0.53,0.47,0.05,0.05,0.08,8.88,9.53,4.63,3.87,0.35,3.11,,2.76,0.19,0.02,0.13,38.52,100,1.423,.298,9.7,0.4,3.2,2.8,0.89,1.27
1925,16,207,29.1,5.13,4.33,2456,0.51,0.49,0.04,0.04,0.07,8.89,10.15,5.13,4.28,0.48,3.16,,2.72,0.20,0.01,0.14,39.19,100,1.497,.306,10.3,0.5,3.2,2.8,0.86,1.34
1924,16,218,28.4,4.75,4.05,2462,0.51,0.49,0.06,0.06,0.07,8.91,9.83,4.75,4.01,0.36,2.99,,2.69,0.22,0.02,0.14,38.73,100,1.439,.302,9.9,0.4,3.0,2.7,0.90,1.24
1923,16,206,28.3,4.81,3.99,2466,0.51,0.49,0.05,0.05,0.07,8.96,9.81,4.81,3.97,0.40,3.08,,2.84,0.25,0.02,0.14,39.00,100,1.439,.300,9.9,0.4,3.1,2.9,0.92,1.35
1922,16,207,27.7,4.86,4.06,2476,0.50,0.50,0.06,0.06,0.07,8.92,9.93,4.86,4.03,0.43,2.92,,2.80,0.25,0.02,0.15,38.84,100,1.439,.304,10.0,0.4,2.9,2.8,0.96,1.30
1921,16,202,27.6,4.85,4.03,2458,0.48,0.52,0.05,0.05,0.07,8.95,10.07,4.85,4.01,0.38,2.78,,2.83,0.23,0.02,0.15,38.89,100,1.435,.308,10.1,0.4,2.8,2.8,1.02,1.39
1920,16,208,27.7,4.36,3.46,2468,0.43,0.57,0.07,0.08,0.06,9.02,9.43,4.36,3.47,0.26,2.76,,2.95,0.22,0.02,0.17,37.73,101,1.352,.295,9.4,0.3,2.8,2.9,1.07,1.42
1919,16,197,27.6,3.87,3.07,2236,0.42,0.58,0.08,0.09,0.04,8.99,8.77,3.87,3.06,0.20,2.67,,3.07,0.24,0.02,0.17,37.00,101,1.272,.283,8.8,0.2,2.7,3.1,1.15,1.42
1918,16,203,27.2,3.63,2.77,2032,0.37,0.63,0.10,0.10,0.06,9.05,8.40,3.63,2.78,0.12,2.82,,2.89,0.23,0.01,0.15,37.27,101,1.239,.274,8.3,0.1,2.8,2.9,1.03,1.51
1917,16,175,26.7,3.58,2.68,2494,0.45,0.55,0.10,0.10,0.07,9.02,8.16,3.58,2.69,0.13,2.76,,3.46,0.23,0.02,0.17,36.53,101,1.210,.271,8.1,0.1,2.8,3.5,1.25,1.50
